id,calories,proteins,fat,carbohydrate,name,kategori
967,23.0,1.8,0.3,4.5,Pe-Cay,bahan pangan
968,156.0,28.0,4.0,0.0,Peda Ikan Banjar,lauk
969,75.0,2.5,2.8,10.0,Pelecing kangkung,sayur
970,219.0,19.7,13.6,4.4,Pelepah manuk masakan,bahan pangan
971,162.0,4.9,3.0,27.8,Pempek adaan,bahan pangan
972,156.0,4.2,1.4,31.6,Pempek belida,bahan pangan
973,152.0,4.5,2.3,28.2,Pempek kapal selam,bahan pangan
974,211.0,12.3,6.1,26.6,Pempek kelesan,bahan pangan
975,243.0,5.2,7.3,39.1,Pempek kulit,bahan pangan
976,173.0,7.2,1.2,33.4,Pempek tenggiri,bahan pangan
977,372.0,7.8,36.3,3.5,Pencok lele masakan,bahan pangan
978,174.0,13.1,12.2,2.2,Penyu serapah masakan,bahan pangan
979,19.0,0.6,0.1,3.9,Pepare ular segar,bahan pangan
980,275.0,11.6,11.6,30.2,Pepaya lodeh,bahan pangan
981,26.0,2.1,0.1,4.9,Pepaya Muda,bahan pangan
982,46.0,0.5,12.0,12.2,Pepaya segar,bahan pangan
983,76.0,5.2,1.8,10.6,Pepea oncom ampas tahu,bahan pangan
984,400.0,0.0,0.0,95.0,Permen ,bahan pangan
985,142.0,10.4,2.0,22.0,Pete Segar,bahan pangan
986,50.0,3.7,1.0,9.0,Peterseli,bahan pangan
987,161.0,20.0,0.2,24.0,Petis Ikan,lauk
988,220.0,15.0,0.1,40.0,Petis Udang,bahan pangan
989,345.0,23.8,1.4,59.3,Petis udang kering,bahan pangan
990,220.0,15.0,0.9,38.0,Petis udang pasta,bahan pangan
991,514.0,1.0,27.8,647.0,Pilus ,bahan pangan
992,107.0,15.9,0.6,0.4,Pinda masakan,bahan pangan
993,157.0,28.0,4.2,0.0,Pindang Ikan Banjar,lauk
994,170.0,31.0,4.2,0.0,Pindang Ikan Benggol,lauk
995,153.0,30.0,2.8,0.0,Pindang Ikan Layang,lauk
996,142.0,27.0,3.0,0.0,Pindang Ikan Selar Kecil,lauk
997,124.0,9.5,9.6,0.0,Pindang kenari masakan,bahan pangan
998,99.0,1.2,0.2,25.8,Pisang Ambon,buah
999,68.0,1.3,0.2,17.2,Pisang angleng (pisang ampyang) segar,buah
1000,120.0,1.1,0.2,26.8,Pisang ayam segar,lauk
1001,127.0,2.1,0.3,31.1,Pisang gapi segar ,buah
1002,220.0,2.3,2.3,6.3,Pisang Goreng ,buah
1003,115.0,1.9,0.2,27.9,Pisang goroho segar,buah
1004,117.0,2.0,0.3,28.9,Pisang hijau segar,buah
1005,100.0,1.4,0.5,23.6,Pisang kayu segar,buah
1006,109.0,0.8,0.5,26.3,Pisang kepok segar,buah
1007,145.0,1.1,0.3,34.5,Pisang ketip segar,buah
1008,96.0,1.0,0.2,22.5,Pisang kidang segar,buah
1009,99.0,1.3,0.2,25.6,Pisang Lampung,buah
1010,127.0,1.4,0.2,33.6,Pisang Mas,buah
1011,127.0,1.4,0.2,31.8,Pisang mas bali,buah
1012,134.0,1.1,0.5,35.5,Pisang Oli,buah
1013,120.0,1.2,0.2,31.8,Pisang Raja,buah
1014,118.0,1.2,0.2,31.1,Pisang Raja Sere (Susu),buah
1015,98.0,1.3,1.2,20.5,Pisang rotan segar,buah
1016,625.0,1.0,0.0,8.1,Pisang Siam goreng,buah
1017,113.0,1.2,0.2,26.7,Pisang talas segar,buah
1018,45.0,2.2,0.3,10.3,Prey (bawang daun),bahan pangan
1019,33.0,4.5,0.4,2.8,Pucuk lumai/daun leunca segar,bahan pangan
1020,216.0,2.6,3.1,44.4,Pulut,bahan pangan
1021,224.0,26.2,11.3,4.4,Punai daging goreng,lauk
1022,104.0,1.9,4.1,15.1,Pundut nasi,bahan pangan
1023,25.0,1.5,0.5,3.6,Purundawa,bahan pangan
1024,76.0,4.1,1.1,15.2,Purut segar,bahan pangan
1025,76.0,3.6,0.3,14.6,Putri malu segar,bahan pangan
1026,163.0,2.2,6.5,23.8,Putri selat,bahan pangan
1027,200.0,1.0,2.4,43.8,Putu Mayang ,bahan pangan
1028,136.0,43.0,2.4,3.0,Ragi,bahan pangan
1029,76.0,12.1,2.0,2.4,Rajungan segar,bahan pangan
1030,69.0,0.9,0.1,18.1,Rambutan,bahan pangan
1031,11.0,0.0,0.0,2.7,Rambutan Aceh,bahan pangan
1032,76.0,0.5,0.2,18.0,Rambutan binjai segar,bahan pangan
1033,4.0,0.0,0.0,0.9,Rambutan sinyonya,bahan pangan
1034,295.0,7.3,8.5,47.5,Rarawuan ,bahan pangan
1035,394.0,2.2,8.8,76.6,Rasbi (Beras Ubi),bahan pokok
1036,350.0,0.9,0.4,85.7,Rasi (Beras Singkong),bahan pokok
1037,60.0,5.4,2.5,4.0,Rawon masakan,bahan pangan
1038,81.0,16.2,1.2,0.7,Rebon (udang kecil segar),bahan pangan
1039,299.0,29.4,3.6,3.2,Rebon kering,bahan pangan
1040,81.0,16.2,1.2,0.7,Rebon udang kecil segar,bahan pangan
1041,27.0,0.6,0.3,5.2,Rebung,bahan pangan
1042,320.0,7.2,4.2,63.3,Rebung laut mentah,bahan pangan
1043,451.0,11.2,20.2,59.7,Rempeyek kacang tolo,bahan pangan
1044,497.0,17.0,27.6,50.8,Rempeyek kacang uci,bahan pangan
1045,193.0,22.6,7.9,7.8,Rendang sapi masakan,bahan pangan
1046,471.0,4.7,21.8,64.1,Renggi goreng,bahan pangan
1047,75.0,1.6,0.6,15.8,Rimbang segar,bahan pangan
1048,335.0,5.3,3.5,70.5,Risoles ,bahan pangan
1049,341.0,5.5,16.2,43.3,Roti boong,bahan pangan
1050,350.0,7.5,2.0,75.5,Roti Gambang ,bahan pangan
1051,248.0,8.0,1.2,50.0,Roti Putih,bahan pangan
1052,249.0,7.9,1.5,49.7,Roti warna sawo matang,bahan pangan
1053,153.0,11.3,8.4,8.0,Rujak cingur,bahan pangan
1054,41.0,1.4,0.3,8.1,Rumput laut,bahan pangan
1055,536.0,40.5,41.5,0.0,Rusa daging dendeng mentah,lauk
1056,110.0,11.5,2.0,11.7,Rusip,bahan pangan
1057,198.0,24.6,10.7,0.9,RW anjing masakan,bahan pangan
1058,449.0,30.6,25.5,31.9,Saga biji tanpa kulit,bahan pangan
1059,338.0,0.6,0.3,83.1,Sagu Ambon ,bahan pangan
1060,355.0,0.6,1.1,85.6,Sagu aren kering,bahan pangan
1061,231.0,0.6,0.2,56.6,Sagu aren segar,bahan pangan
1062,291.0,0.5,4.0,63.4,Sagu forno,bahan pangan
